"idarticle","abstract","title","publisher","active","year"
"24662461","Construction of the Rio de Janeiro-Sao Paulo gas line for Petrobras represents a landmark within Brazilian energy development since the system interconnects the main South America industrial center located in Sao Paulo state to the Campos basin. This basin, one of the gas and oil offshore producing areas, has the fastest development in the world and is responsible for over 50% of Brazilian oil and natural gas production. This paper discuses the various terrain characteristics, logistics and construction details for this project.","Techint installs gas, oil lines for Petrobras",NULL,True,"1989"
"84893052541","The development of pre-salt fields in the Santos Basin has presented a plenty of technological challenges, which include the production of fluids with high values of GOR (Gas Oil Ratio) and high values of WAT (Wax Appearance Temperature). To avoid the wax deposition, it is absolutely imperative handling the temperature by insulation and/or heating. If in one hand the production system thermal insulation minimizes the heat losses to the environment, on the other hand the cooling due the thermodynamic effect of gas expansion is inevitable, mainly in fields with high GOR values. To mitigate the problem of temperature drop, mainly in the risers where the expansion effects are pronounced, various heating systems for subsea pipelines have been studied by PETROBRAS. In parallel to these studies, it was noted that the design philosophy of the offshore production units for the presalt fields have indicated the use of turbo-generators to supply electrical power to the production unit, leading to the opportunity of using the generated super heated gases, originally discharged into the atmosphere, in order to feed the riser heating systems based on heated fluids circulation. Studies of heat exchange performed indicated a great potential for the risers heating by the flow of heated water through the annular of a Pipe-in-Pipe riser, by using a WHRU (Waste Heat Recovery Unit) to recover the power discharged into the atmosphere from the turbo-generators. It was identified the possibility of heating Pipe-in-Pipe risers by circulating heated fresh water in a closed loop with water return to the production unit, or by coupling the riser heating system with the water injection system, using all the facilities for treatment and pumping of water injection. This paper aims to describe the methodology considered in the development of a conceptual design of a heating system for a Pipe-in-Pipe riser, by the flow of heated water in the annular, in a Free Standing Hybrid Riser configuration. The paper will also present the characteristics associated with the two possibilities of heated water circuit, as well as advantages and disadvantages of each system, and the aspects related to subsea production layout. Copyright © 2013 by ASME.","Flow assurance with water heated Pipe-in-Pipe in fields with high Gas Oil Ratio and high Wax Appearance Temperature",NULL,True,"2013"
"85049552088","The continental shelf adjacent to the municipality of Salvador (CSS), state of Bahia, is the narrowest sector of the entire Brazilian continental shelf. During most of the Quaternary, this sector of the shelf was exposed to subaereous conditions, since sea level was approximately 45-60 meters below what is currently observed. This long subaereous exposure and resulting erosion were certainly controlled by the heterogeneity of the structural and stratigraphic framework of the Camamu and Jacuípe basins, highlighting relic physiographic features from both basins. The complex seascape that resulted from this prolonged erosion played an important role in controlling the characteristics of shelf sedimentation in episodes when the CSS was flooded during interglacial periods. The objective of the present study was to understand the geological evolution and the structural control of the Camamu /Jacuípe basins over sedimentation patterns of the Continental Shelf of Salvador, during the Quaternary, using seismic-stratigraphic interpretation of high-resolution shallow seismic lines obtained from a boomer plate sound source. Two major stratigraphic units were identified in the study area : the Cretaceous Sedimentary Basin and the overlapping Unconsolidated Quaternary Sediments. Isopach maps of Quaternary deposits and depth maps of the top of the Cretaceous sedimentary rocks showed that the structural framework of the Sedimentary Basin structurally controls shelf sedimentation. Compressional structures that affect the Cretaceous sedimentary rocks in areas near previously mapped transference faults seem to have originated topographic highs on the shelf where coarse bioclastic sedimentation predominates. These highs, in turn, delimitate low areas where fine-grained sediments accumulate. Shelf topographic highs are associated with antiforms in the Camaμ Jacuípe basins, with their most deformed strata following a WNW-SSE trend. This information is important to aid marine environmental management strategies. Moreover, the present study will allow the evaluation of the controlling factors that determinate narrow shelf sedimentation and stratigraphy, with small accommodation area, as in the case of the CSS. © 2017 IEEE.","Evaluation of the structural control over quaternary sedimentation on the continental shelf of Salvador, Bahia, using high-resolution seismic surveys","Institute of Electrical and Electronics Engineers Inc.",True,"2018"
"85083240666","Purpose: In order to assess the impact of anthropogenic activities on carbon and nutrient accumulation, total organic carbon (TOC), nitrogen (TN), and phosphorus (TP) accumulation rates were examined in a 210Pb-dated mangrove sediment core from Sepetiba Bay, Brazil, a coastal region impacted by multiple environmental changes during the previous century. Materials and methods: A 50-cm length sediment core was collected from a mangrove forest in Sepetiba Bay. Sediment subsamples were analyzed to measure TOC, TN, δ13C, and δ15N using an elemental analyzer attached to an isotope ratio mass spectrometer Thermo Finnigan Model Delta Plus XP, whereas colorimetric analysis were used to measure TP. For 210Pbex analyses, gamma-ray measurements were performed in a semiplanar intrinsic germanium high purity coaxial detector, coupled to a multichannel analyzer, whereas the sediment accumulation rate (SAR) was calculated according to the constant initial concentration (CIC) method. Also, carbon and nutrient fluxes were calculated using SAR and TOC, TN, and TP contents, whereas statistical differences were evaluated by ANOVA + Tukey HSD analysis with previous data normalization. Results and discussion: The calculated sedimentation rate (~ 8.1 mm year−1) since the early 1900s was up to threefold higher than the global mean determined for mangrove forests (~ 2.8 mm year−1) and the regional sea level rise (~ 3.2 mm year−1). Significantly higher TOC, TN, and TP fluxes, up to nearly 1000, 90, and 15 g m−2 year−1, respectively, were observed after the water diversion from a nearby drainage basin in the 1950s and an increase in sewage effluent input, which increased in the early 1990s. After this period, lighter δ13C values (~ − 25‰) indicate an increased importance of the terrestrial organic matter source, while lower TOC:TN ratios (~ 11) and heavier δ15N values (~ + 9‰) suggest an increased influence of anthropogenic fertilization on inorganic nitrogen accumulation. Conclusions: The significantly higher accumulation rates during the last decades evidenced the role of mangrove sediments as sinks for anthropogenically enhanced inputs of carbon and nutrients. Also, studies on carbon and nutrient accumulation evidenced the need for further research in eutrophic coastal areas. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.","Carbon and nutrient accumulation in mangrove sediments affected by multiple environmental changes","Springer",True,"2020"
"85075879935","Climate change will increase the frequency and intensity of extreme weather events with potential effects in coastal and estuarine ecosystems. During drought periods, higher salinity and temperature can directly impact estuarine benthic assemblages through physiological stress and alteration of sedimentary habitats, but these effects are poorly evaluated to date. Here we report a 14-month monitoring of benthic assemblages in a tropical estuary in the Eastern Brazil Marine Ecoregion during the severe drought period of 2015/2016. The drought in Eastern Brazil resulted in a decrease of estuarine mean sediment particle size and concurrent changes in macrofaunal benthic assemblages during the driest months. We also observed a 3-fold reduction on macrofaunal abundance with dominance of surface-dwelling Magelonid, Sternaspid, Capitellid and Oligochaeta annelids. The changes in macrofaunal structure during the severe drought also decreased the community bioturbation potential (BPc) by 5-fold, if compared to pre-drought periods. We argue that the projected increases in the frequency and severity of climatic events, such as observed during severe droughts worldwide, will greatly change the benthic fauna and their ecological functions in tropical estuarine ecosystems. © 2019 Elsevier B.V.","Drought effects on tropical estuarine benthic assemblages in Eastern Brazil","Elsevier B.V.",True,"2020"
"85048862831","Home to approximately four hundred thousand inhabitants and an important touristic center, the City of Santos is the largest seaport in South America. This coastal city is located in the State of São Paulo, Brazil. Since 1979, an ocean outfall has been in use for combined sewage disposal from the City of Santos and neighboring City of São Vicente. The existing pipeline is 4.4 km long and 1.7 m in diameter. It is laid out within a relatively shallow depth of 10 m and its discharge capacity is 5.3 m3/s. Enhance primary treatment and increase the length of the outfall are alternatives in the study in order to improve the outfall system and deal with population increase and new environmental requirements. The fate and transport of sewage effluent, in light of proposed improvements of primary treatment and the augmentation of outfall's length are evaluated in this paper. Delft3D is used to simulate plume dispersion and other key variables. This is done while considering the non-steady nature of coastal hydrodynamics, tidal effects, wind, current speed, climate conditions, and other drivers. The modified dispersion processes for each alternative are presented and the results from a physical model of the Santos Bay and estuary are coupled to better represent the plume simulations. This research helps find that the proposed alternatives of enhanced primary treatment and a longer outfall give the answer to an improved disposal system that meets environmental requirements. © 2018 American Society of Civil Engineers.","Capacity Expansion Study of the Santos Ocean Outfall, Brazil","American Society of Civil Engineers (ASCE)",True,"2018"
"85086808985","In the early years of the offshore industry, Early Production Systems or EPSs were extensively utilized to develop marginal and/or complex reservoirs in progressively deeper and more remote waters. Their signature attributes were low capital and operating costs, simple designs and accelerated schedules to first oil. Today, Operators are emphasizing capital efficiency, design simplicity, compressed discovery to first oil cycle times and de-risking subsurface uncertainty as deepwater projects compete for capital allocation with onshore shale projects. Discussing history and applications, the authors show, how an EPS can enable an Operator to sanction developments of marginal reservoirs, mid-size reservoirs with expansion capabilities to capture reservoir upsides and phased developments of giant reservoirs. This paper addresses major subsurface uncertainties impacting development decisions and strategies to gather relevant dynamic information to mitigate risk. It provides a brief history of EPSs deployed in the North Sea, Brazil and GoM including a database of EPS platforms based on an extensive literature review. A case history in each region to demonstrate the utility of an EPS to derisk and enable commercial production of marginal, mid-size and large fields. A discussion is presented for EPS platform selection based on the research of platforms deployed in the three major deepwater regions. This discussion will facilitate to develop a roadmap for the Operators and Development Planners with tools to rapidly deselect or retain options in the early development planning stage while there is a high degree of reservoir uncertainty and pressure to compress cycle time to first oil following a discovery. Copyright © 2020, The Society of Naval Architects and Marine Engineers","Commercial exploitation and de-risking deepwater developments with early production systems: Brief history and roadmap for platform selection","Society of Naval Architects and Marine Engineers",True,"2020"
"85044397080","In January 2000, Guanabara Bay in Rio de Janeiro experienced a major oil spilling caused by a break down in one PETROBRAS oil pipeline. Over than 1.3 tons of fuel oil escaped into the bay water in the northern region. Studies of foraminiferal taphonomic assemblages in sediment samples collected on three periods in the same stations, before and after the spilling, were important for the pollution impact evaluation during eight years. In 2005, in the north region, TOC values were higher than in 1999. It was observed the increase of test abnormalities, corrosion and dwarfism. Abundance and species richness reduced in 2005 and increased in 2008 but they did not reach the 1999 levels. Trends of dominant species confirmed the increase of pollution values in 2005: Abundance of A. tepida increased while B. elegantissima reduced. In 2008 there was an increase in the species richness with the occurrence of agglutinated species. © 2017, Universidade Federal do Rio de Janeiro. All rights reserved.","Foraminiferal assemblage and bioindicators for evaluation of the anthropogenic impact in the Guanabara Bay, Rio de Janeiro, SE Brazil [Assembleia e bioindicadores de foraminíferos para avaliação do impacto antropogênico na baía de Guanabara, Rio de Janeiro, SE Brasil]","Universidade Federal do Rio de Janeiro",True,"2017"
"85091725112","Lacustrine carbonate deposits mark the rift-sag sedimentation stage of the so-called pre-salt section of the Campos and Santos Basins, in the Southeast Brazilian continental shelf. These salt-sealed carbonate reservoirs form deep-water, giant and prolific oil fields that are currently responsible for approximately 70% of the Brazilian oil and gas production. In the Santos Basin, the sag stage carbonates are represented by the Aptian Barra Velha Formation, characterized by exotic textural and compositional features whose origin, development, and correlation with petrophysical properties have been broadly discussed in the last decade. A geological and petrophysical study has been performed based on core samples, plugs, and thin-sections of a well in the Barra Velha Formation from the eastern Santos Basin. The analyzed core interval was grouped into six depositional facies constituted by the association of five key textural components: (1) crystal shrubs; (2) calcite spherulites; (3) hybrid forms; (4) mud-grade carbonates and dolomite; and (5) intraclasts. The relationship between the depositional framework and the poroperm system, as evidenced by petrographic image analysis and CT-scan data, is highly complex. The depositional control over porosity is erratic, mainly due to the extensive diagenetic and possible hydrothermal overprint. Dolomite cementation, dolomitization, pervasive silicification, and dissolution processes are the main primary porosity modifiers. Petrophysical analysis indicates that intraclastic and spherulitic grainstones–rudstones, affected by matrix dissolution, may present the best reservoir properties, in certain intervals, even surpassing the shrubby framestones, which are widely regarded as the best reservoir facies. This study seeks to contribute to an emerging body of research about the Brazilian pre-salt lacustrine carbonates, broadening the geological knowledge about these deposit, while providing new data to improve hydrocarbon forecast and recovery. © 2020, Geologische Vereinigung e.V. (GV).","Sedimentology and petrophysical analysis of pre-salt lacustrine carbonate reservoir from the Santos Basin, southeast Brazil","Springer Science and Business Media Deutschland GmbH",True,"2020"
"85059218520","As a solution for sand production problems associated with the production of hydrocarbons from sandstone reservoirs, the gravel packing technique (GPT) has been used by Petrobras since the early seventies when some small offshore fields in northeast Brazil were completed with this technique. More recently Petrobras has made important discoveries in unconsolidated to friable turbidite sandstones in Campos Basin area, offshore Rio de Janeiro (fig.1). Carapeba, Vermelho and Pargo fields, the so called Northeastern Pole fields (NP fields); and Albacora and Marlim giants fields, located in deep waters, are among these important discoveries. The GPT has been elected as the only sand control technique suitable to those wells. The paper describes Petrobras search for improvement of GPT to suitably complete NP, Albacora and Marlim wells with this technique. The use of the GPT for Albacora and Marlim is unique and is one of Petrobras challenges to deepwater production. Copyright 1989, Offshore Technology Conference","Gravel pack in offshore wells","Offshore Technology Conference",True,"1989"
